seed,variant,session,recall10,recall100
1,baseline,0,0.27400,0.32905
1,baseline,1,0.27000,0.32960
1,baseline,2,0.26850,0.32545
1,baseline,3,0.27050,0.32790
1,baseline,4,0.26650,0.32485
1,baseline,5,0.26350,0.32390
1,baseline,6,0.25500,0.31490
1,baseline,7,0.26200,0.32185
1,baseline,8,0.26150,0.32710
1,baseline,9,0.25400,0.31855
1,baseline,10,0.24400,0.30795
1,baseline,11,0.24450,0.29945
1,baseline,12,0.24050,0.29575
1,baseline,13,0.24350,0.30065
1,baseline,14,0.23450,0.29880
1,baseline,15,0.22750,0.28700
1,baseline,16,0.21600,0.26775
1,baseline,17,0.19650,0.24525
1,baseline,18,0.20250,0.25055
1,baseline,19,0.19650,0.24695
1,baseline,20,0.19550,0.24595
1,baseline,21,0.17000,0.22835
1,baseline,22,0.18350,0.23625
1,baseline,23,0.16500,0.22535
1,baseline,24,0.21700,0.28045
1,baseline,25,0.19050,0.26545
1,baseline,26,0.19250,0.26460
1,baseline,27,0.20700,0.28230
1,baseline,28,0.21400,0.27405
1,baseline,29,0.20700,0.27410
1,baseline,30,0.23900,0.30345
1,baseline,31,0.23450,0.30245
1,baseline,32,0.14550,0.21240
1,baseline,33,0.16500,0.22535
1,baseline,34,0.21200,0.27120
1,baseline,35,0.15500,0.23715
1,baseline,36,0.22550,0.30550
1,baseline,37,0.08200,0.18125
1,baseline,38,0.07800,0.18240
1,baseline,39,0.08350,0.18395
1,baseline,40,0.06650,0.18145
1,baseline,41,0.06600,0.18230
1,baseline,42,0.07050,0.18165
1,baseline,43,0.06450,0.18130
1,baseline,44,0.06250,0.18135
1,baseline,45,0.06250,0.18085
1,baseline,46,0.06250,0.18125
1,baseline,47,0.06300,0.18235
1,baseline,48,0.06300,0.18225
1,baseline,49,0.06200,0.18125
1,baseline,50,0.06200,0.18060
1,baseline,51,0.06200,0.18195
1,baseline,52,0.06200,0.18195
1,baseline,53,0.06200,0.18075
1,baseline,54,0.06200,0.18065
1,baseline,55,0.06200,0.18195
1,baseline,56,0.06200,0.18095
1,baseline,57,0.06200,0.18050
1,baseline,58,0.06200,0.18115
1,baseline,59,0.06200,0.18135
1,hashenc,0,0.27400,0.32905
1,hashenc,1,0.27400,0.32905
1,hashenc,2,0.27400,0.32905
1,hashenc,3,0.27400,0.32905
1,hashenc,4,0.27400,0.32905
1,hashenc,5,0.27400,0.32905
1,hashenc,6,0.27400,0.32905
1,hashenc,7,0.27400,0.32905
1,hashenc,8,0.27400,0.32905
1,hashenc,9,0.27400,0.32905
1,hashenc,10,0.27400,0.32905
1,hashenc,11,0.27400,0.32905
1,hashenc,12,0.27400,0.32905
1,hashenc,13,0.27400,0.32905
1,hashenc,14,0.27400,0.32905
1,hashenc,15,0.27400,0.32905
1,hashenc,16,0.27400,0.32905
1,hashenc,17,0.27400,0.32905
1,hashenc,18,0.27400,0.32905
1,hashenc,19,0.27400,0.32905
1,hashenc,20,0.27400,0.32905
1,hashenc,21,0.27400,0.32905
1,hashenc,22,0.27400,0.32905
1,hashenc,23,0.27400,0.32905
1,hashenc,24,0.27400,0.32905
1,hashenc,25,0.27400,0.32905
1,hashenc,26,0.27400,0.32905
1,hashenc,27,0.27400,0.32905
1,hashenc,28,0.27400,0.32905
1,hashenc,29,0.27400,0.32905
1,hashenc,30,0.27400,0.32905
1,hashenc,31,0.27400,0.32905
1,hashenc,32,0.27400,0.32905
1,hashenc,33,0.27400,0.32905
1,hashenc,34,0.27400,0.32905
1,hashenc,35,0.27400,0.32905
1,hashenc,36,0.27400,0.32905
1,hashenc,37,0.27400,0.32905
1,hashenc,38,0.27400,0.32905
1,hashenc,39,0.27400,0.32905
1,hashenc,40,0.27400,0.32905
1,hashenc,41,0.27400,0.32905
1,hashenc,42,0.27400,0.32905
1,hashenc,43,0.27400,0.32905
1,hashenc,44,0.27400,0.32905
1,hashenc,45,0.27400,0.32905
1,hashenc,46,0.27400,0.32905
1,hashenc,47,0.27400,0.32905
1,hashenc,48,0.27400,0.32905
1,hashenc,49,0.27400,0.32905
1,hashenc,50,0.27400,0.32905
1,hashenc,51,0.27400,0.32905
1,hashenc,52,0.27400,0.32905
1,hashenc,53,0.27400,0.32905
1,hashenc,54,0.27400,0.32905
1,hashenc,55,0.27400,0.32905
1,hashenc,56,0.27400,0.32905
1,hashenc,57,0.27400,0.32905
1,hashenc,58,0.27400,0.32905
1,hashenc,59,0.27400,0.32905
2,baseline,0,0.28700,0.32225
2,baseline,1,0.28300,0.32310
2,baseline,2,0.27550,0.32120
2,baseline,3,0.27450,0.32360
2,baseline,4,0.26600,0.31130
2,baseline,5,0.26050,0.30480
2,baseline,6,0.24300,0.27945
2,baseline,7,0.24050,0.27685
2,baseline,8,0.26200,0.29430
2,baseline,9,0.21050,0.25465
2,baseline,10,0.20050,0.24965
2,baseline,11,0.24900,0.29090
2,baseline,12,0.20950,0.25840
2,baseline,13,0.18450,0.23845
2,baseline,14,0.18550,0.23975
2,baseline,15,0.17200,0.23050
2,baseline,16,0.15850,0.22185
2,baseline,17,0.14050,0.21585
2,baseline,18,0.19050,0.24230
2,baseline,19,0.20050,0.24995
2,baseline,20,0.16300,0.22375
2,baseline,21,0.15600,0.22095
2,baseline,22,0.12700,0.21120
2,baseline,23,0.13150,0.21230
2,baseline,24,0.12300,0.20830
2,baseline,25,0.12250,0.20795
2,baseline,26,0.12550,0.20970
2,baseline,27,0.12550,0.20995
2,baseline,28,0.10700,0.20565
2,baseline,29,0.11150,0.20565
2,baseline,30,0.10700,0.20505
2,baseline,31,0.10150,0.20380
2,baseline,32,0.10550,0.20430
2,baseline,33,0.10150,0.20405
2,baseline,34,0.10150,0.20340
2,baseline,35,0.09750,0.20250
2,baseline,36,0.09600,0.20170
2,baseline,37,0.09500,0.20145
2,baseline,38,0.10200,0.20315
2,baseline,39,0.10150,0.20390
2,baseline,40,0.10150,0.20280
2,baseline,41,0.10200,0.20245
2,baseline,42,0.09900,0.20230
2,baseline,43,0.10650,0.20485
2,baseline,44,0.11200,0.20485
2,baseline,45,0.10650,0.20395
2,baseline,46,0.10250,0.20415
2,baseline,47,0.10450,0.20410
2,baseline,48,0.11050,0.20610
2,baseline,49,0.10600,0.20500
2,baseline,50,0.11450,0.20670
2,baseline,51,0.11950,0.20715
2,baseline,52,0.11550,0.20680
2,baseline,53,0.12500,0.20935
2,baseline,54,0.12100,0.20775
2,baseline,55,0.13100,0.21210
2,baseline,56,0.12400,0.20870
2,baseline,57,0.12100,0.20820
2,baseline,58,0.11800,0.20715
2,baseline,59,0.11250,0.20580
2,hashenc,0,0.28700,0.32225
2,hashenc,1,0.28700,0.32225
2,hashenc,2,0.28700,0.32225
2,hashenc,3,0.28700,0.32225
2,hashenc,4,0.28700,0.32225
2,hashenc,5,0.28700,0.32225
2,hashenc,6,0.28700,0.32225
2,hashenc,7,0.28700,0.32225
2,hashenc,8,0.28700,0.32225
2,hashenc,9,0.28700,0.32225
2,hashenc,10,0.28700,0.32225
2,hashenc,11,0.28700,0.32225
2,hashenc,12,0.28700,0.32225
2,hashenc,13,0.28700,0.32225
2,hashenc,14,0.28700,0.32225
2,hashenc,15,0.28700,0.32225
2,hashenc,16,0.28700,0.32225
2,hashenc,17,0.28700,0.32225
2,hashenc,18,0.28700,0.32225
2,hashenc,19,0.28700,0.32225
2,hashenc,20,0.28700,0.32225
2,hashenc,21,0.28700,0.32225
2,hashenc,22,0.28700,0.32225
2,hashenc,23,0.28700,0.32225
2,hashenc,24,0.28700,0.32225
2,hashenc,25,0.28700,0.32225
2,hashenc,26,0.28700,0.32225
2,hashenc,27,0.28700,0.32225
2,hashenc,28,0.28700,0.32225
2,hashenc,29,0.28700,0.32225
2,hashenc,30,0.28700,0.32225
2,hashenc,31,0.28700,0.32225
2,hashenc,32,0.28700,0.32225
2,hashenc,33,0.28700,0.32225
2,hashenc,34,0.28700,0.32225
2,hashenc,35,0.28700,0.32225
2,hashenc,36,0.28700,0.32225
2,hashenc,37,0.28700,0.32225
2,hashenc,38,0.28700,0.32225
2,hashenc,39,0.28700,0.32225
2,hashenc,40,0.28700,0.32225
2,hashenc,41,0.28700,0.32225
2,hashenc,42,0.28700,0.32225
2,hashenc,43,0.28700,0.32225
2,hashenc,44,0.28700,0.32225
2,hashenc,45,0.28700,0.32225
2,hashenc,46,0.28700,0.32225
2,hashenc,47,0.28700,0.32225
2,hashenc,48,0.28700,0.32225
2,hashenc,49,0.28700,0.32225
2,hashenc,50,0.28700,0.32225
2,hashenc,51,0.28700,0.32225
2,hashenc,52,0.28700,0.32225
2,hashenc,53,0.28700,0.32225
2,hashenc,54,0.28700,0.32225
2,hashenc,55,0.28700,0.32225
2,hashenc,56,0.28700,0.32225
2,hashenc,57,0.28700,0.32225
2,hashenc,58,0.28700,0.32225
2,hashenc,59,0.28700,0.32225
3,baseline,0,0.30900,0.37010
3,baseline,1,0.30600,0.36980
3,baseline,2,0.30100,0.36015
3,baseline,3,0.29300,0.35395
3,baseline,4,0.29150,0.34910
3,baseline,5,0.28800,0.34230
3,baseline,6,0.28550,0.33775
3,baseline,7,0.28750,0.34280
3,baseline,8,0.28700,0.33945
3,baseline,9,0.28800,0.34230
3,baseline,10,0.28750,0.33820
3,baseline,11,0.27800,0.33670
3,baseline,12,0.26800,0.32900
3,baseline,13,0.27150,0.33095
3,baseline,14,0.27100,0.33085
3,baseline,15,0.27950,0.33485
3,baseline,16,0.27650,0.33535
3,baseline,17,0.28050,0.33770
3,baseline,18,0.27850,0.33600
3,baseline,19,0.27700,0.33485
3,baseline,20,0.28300,0.33875
3,baseline,21,0.28300,0.33825
3,baseline,22,0.28550,0.33910
3,baseline,23,0.28350,0.33965
3,baseline,24,0.28550,0.33870
3,baseline,25,0.28250,0.33850
3,baseline,26,0.28850,0.34095
3,baseline,27,0.28800,0.34055
3,baseline,28,0.28950,0.34180
3,baseline,29,0.28700,0.34045
3,baseline,30,0.28850,0.34080
3,baseline,31,0.28600,0.33775
3,baseline,32,0.28700,0.34060
3,baseline,33,0.28550,0.34115
3,baseline,34,0.28500,0.34200
3,baseline,35,0.28650,0.34515
3,baseline,36,0.28450,0.34285
3,baseline,37,0.28400,0.34425
3,baseline,38,0.28450,0.34440
3,baseline,39,0.28650,0.34585
3,baseline,40,0.28900,0.34540
3,baseline,41,0.29000,0.34605
3,baseline,42,0.29000,0.34500
3,baseline,43,0.28950,0.34505
3,baseline,44,0.29000,0.34515
3,baseline,45,0.29000,0.34485
3,baseline,46,0.28900,0.34660
3,baseline,47,0.28850,0.34590
3,baseline,48,0.28700,0.34620
3,baseline,49,0.29050,0.34605
3,baseline,50,0.29050,0.34585
3,baseline,51,0.28900,0.34550
3,baseline,52,0.29050,0.34650
3,baseline,53,0.29200,0.34705
3,baseline,54,0.29250,0.34670
3,baseline,55,0.29150,0.34725
3,baseline,56,0.29350,0.34805
3,baseline,57,0.29250,0.34765
3,baseline,58,0.29250,0.34755
3,baseline,59,0.29300,0.34700
3,hashenc,0,0.30900,0.37010
3,hashenc,1,0.30900,0.37010
3,hashenc,2,0.30900,0.37010
3,hashenc,3,0.30900,0.37010
3,hashenc,4,0.30900,0.37010
3,hashenc,5,0.30900,0.37010
3,hashenc,6,0.30900,0.37010
3,hashenc,7,0.30900,0.37010
3,hashenc,8,0.30900,0.37010
3,hashenc,9,0.30900,0.37010
3,hashenc,10,0.30900,0.37010
3,hashenc,11,0.30900,0.37010
3,hashenc,12,0.30900,0.37010
3,hashenc,13,0.30900,0.37010
3,hashenc,14,0.30900,0.37010
3,hashenc,15,0.30900,0.37010
3,hashenc,16,0.30900,0.37010
3,hashenc,17,0.30900,0.37010
3,hashenc,18,0.30900,0.37010
3,hashenc,19,0.30900,0.37010
3,hashenc,20,0.30900,0.37010
3,hashenc,21,0.30900,0.37010
3,hashenc,22,0.30900,0.37010
3,hashenc,23,0.30900,0.37010
3,hashenc,24,0.30900,0.37010
3,hashenc,25,0.30900,0.37010
3,hashenc,26,0.30900,0.37010
3,hashenc,27,0.30900,0.37010
3,hashenc,28,0.30900,0.37010
3,hashenc,29,0.30900,0.37010
3,hashenc,30,0.30900,0.37010
3,hashenc,31,0.30900,0.37010
3,hashenc,32,0.30900,0.37010
3,hashenc,33,0.30900,0.37010
3,hashenc,34,0.30900,0.37010
3,hashenc,35,0.30900,0.37010
3,hashenc,36,0.30900,0.37010
3,hashenc,37,0.30900,0.37010
3,hashenc,38,0.30900,0.37010
3,hashenc,39,0.30900,0.37010
3,hashenc,40,0.30900,0.37010
3,hashenc,41,0.30900,0.37010
3,hashenc,42,0.30900,0.37010
3,hashenc,43,0.30900,0.37010
3,hashenc,44,0.30900,0.37010
3,hashenc,45,0.30900,0.37010
3,hashenc,46,0.30900,0.37010
3,hashenc,47,0.30900,0.37010
3,hashenc,48,0.30900,0.37010
3,hashenc,49,0.30900,0.37010
3,hashenc,50,0.30900,0.37010
3,hashenc,51,0.30900,0.37010
3,hashenc,52,0.30900,0.37010
3,hashenc,53,0.30900,0.37010
3,hashenc,54,0.30900,0.37010
3,hashenc,55,0.30900,0.37010
3,hashenc,56,0.30900,0.37010
3,hashenc,57,0.30900,0.37010
3,hashenc,58,0.30900,0.37010
3,hashenc,59,0.30900,0.37010
4,baseline,0,0.27900,0.32030
4,baseline,1,0.27700,0.32545
4,baseline,2,0.28300,0.32620
4,baseline,3,0.28300,0.32510
4,baseline,4,0.26200,0.31930
4,baseline,5,0.21500,0.30660
4,baseline,6,0.25100,0.31495
4,baseline,7,0.21900,0.30585
4,baseline,8,0.19600,0.29950
4,baseline,9,0.22100,0.30065
4,baseline,10,0.18500,0.29240
4,baseline,11,0.19650,0.29680
4,baseline,12,0.24600,0.30630
4,baseline,13,0.25150,0.31350
4,baseline,14,0.26450,0.29825
4,baseline,15,0.20950,0.24450
4,baseline,16,0.26500,0.29090
4,baseline,17,0.18400,0.22495
4,baseline,18,0.21250,0.25800
4,baseline,19,0.10350,0.18665
4,baseline,20,0.08400,0.24500
4,baseline,21,0.19500,0.24330
4,baseline,22,0.24850,0.28530
4,baseline,23,0.22950,0.27885
4,baseline,24,0.25350,0.29515
4,baseline,25,0.20600,0.24090
4,baseline,26,0.11250,0.20280
4,baseline,27,0.26950,0.30790
4,baseline,28,0.19450,0.24135
4,baseline,29,0.26350,0.30780
4,baseline,30,0.24300,0.27215
4,baseline,31,0.23350,0.26355
4,baseline,32,0.26850,0.30545
4,baseline,33,0.26700,0.29790
4,baseline,34,0.18550,0.23400
4,baseline,35,0.22750,0.26280
4,baseline,36,0.26300,0.29540
4,baseline,37,0.27300,0.30280
4,baseline,38,0.25950,0.29530
4,baseline,39,0.26800,0.30825
4,baseline,40,0.24850,0.28195
4,baseline,41,0.27400,0.30135
4,baseline,42,0.11950,0.20330
4,baseline,43,0.26550,0.30335
4,baseline,44,0.21700,0.25885
4,baseline,45,0.08350,0.19910
4,baseline,46,0.26150,0.30795
4,baseline,47,0.23250,0.30280
4,baseline,48,0.24950,0.27180
4,baseline,49,0.12450,0.22640
4,baseline,50,0.26600,0.29920
4,baseline,51,0.25350,0.28295
4,baseline,52,0.20700,0.28900
4,baseline,53,0.26350,0.30315
4,baseline,54,0.24300,0.28055
4,baseline,55,0.24400,0.28070
4,baseline,56,0.27200,0.31150
4,baseline,57,0.25900,0.28860
4,baseline,58,0.15300,0.21550
4,baseline,59,0.22200,0.30135
4,hashenc,0,0.27900,0.32030
4,hashenc,1,0.27900,0.32030
4,hashenc,2,0.27900,0.32030
4,hashenc,3,0.27900,0.32030
4,hashenc,4,0.27900,0.32030
4,hashenc,5,0.27900,0.32030
4,hashenc,6,0.27900,0.32030
4,hashenc,7,0.27900,0.32030
4,hashenc,8,0.27900,0.32030
4,hashenc,9,0.27900,0.32030
4,hashenc,10,0.27900,0.32030
4,hashenc,11,0.27900,0.32030
4,hashenc,12,0.27900,0.32030
4,hashenc,13,0.27900,0.32030
4,hashenc,14,0.27900,0.32030
4,hashenc,15,0.27900,0.32030
4,hashenc,16,0.27900,0.32030
4,hashenc,17,0.27900,0.32030
4,hashenc,18,0.27900,0.32030
4,hashenc,19,0.27900,0.32030
4,hashenc,20,0.27900,0.32030
4,hashenc,21,0.27900,0.32030
4,hashenc,22,0.27900,0.32030
4,hashenc,23,0.27900,0.32030
4,hashenc,24,0.27900,0.32030
4,hashenc,25,0.27900,0.32030
4,hashenc,26,0.27900,0.32030
4,hashenc,27,0.27900,0.32030
4,hashenc,28,0.27900,0.32030
4,hashenc,29,0.27900,0.32030
4,hashenc,30,0.27900,0.32030
4,hashenc,31,0.27900,0.32030
4,hashenc,32,0.27900,0.32030
4,hashenc,33,0.27900,0.32030
4,hashenc,34,0.27900,0.32030
4,hashenc,35,0.27900,0.32030
4,hashenc,36,0.27900,0.32030
4,hashenc,37,0.27900,0.32030
4,hashenc,38,0.27900,0.32030
4,hashenc,39,0.27900,0.32030
4,hashenc,40,0.27900,0.32030
4,hashenc,41,0.27900,0.32030
4,hashenc,42,0.27900,0.32030
4,hashenc,43,0.27900,0.32030
4,hashenc,44,0.27900,0.32030
4,hashenc,45,0.27900,0.32030
4,hashenc,46,0.27900,0.32030
4,hashenc,47,0.27900,0.32030
4,hashenc,48,0.27900,0.32030
4,hashenc,49,0.27900,0.32030
4,hashenc,50,0.27900,0.32030
4,hashenc,51,0.27900,0.32030
4,hashenc,52,0.27900,0.32030
4,hashenc,53,0.27900,0.32030
4,hashenc,54,0.27900,0.32030
4,hashenc,55,0.27900,0.32030
